,FINAL SCORE,T1,T2,T3,T4,RANK
0,178.0,74.0,49.0,46.0,13.0,1.0
1,175.5,74.0,46.0,43.0,17.0,2.0
2,173.75,73.0,48.0,42.0,15.0,3.0
3,172.0,74.0,48.0,42.0,12.0,4.0
4,170.0,71.0,45.0,43.0,16.0,5.0
5,169.5,69.0,46.0,44.0,16.0,6.0
6,168.25,69.0,45.0,43.0,17.0,7.0
7,167.75,72.0,47.0,41.0,11.0,8.0
8,167.75,67.0,50.0,42.0,15.0,9.0
9,167.0,70.0,47.0,39.0,17.0,10.0
10,167.0,67.0,45.0,43.0,18.0,11.0
11,167.0,67.0,43.0,43.0,17.0,12.0
12,165.25,72.0,47.0,40.0,12.0,13.0
13,165.0,68.0,46.0,41.0,15.0,14.0
14,165.0,67.0,47.0,39.0,17.0,15.0
15,165.0,66.0,45.0,43.0,18.0,16.0
16,164.5,72.0,47.0,40.0,11.0,17.0
17,164.5,68.0,46.0,41.0,13.0,18.0
18,164.0,70.0,46.0,43.0,11.0,19.0
19,163.75,73.0,41.0,41.0,11.0,20.0
20,162.75,69.0,47.0,38.0,15.0,21.0
21,162.75,66.0,49.0,39.0,15.0,22.0
22,162.5,68.0,46.0,41.0,14.0,23.0
23,162.5,68.0,46.0,39.0,17.0,24.0
24,162.25,69.0,46.0,39.0,14.0,25.0
25,162.0,67.0,47.0,38.0,17.0,26.0
26,161.5,71.0,43.0,42.0,11.0,27.0
27,161.25,69.0,44.0,37.0,17.0,28.0
29,161.0,71.0,42.0,38.0,16.0,29.0
30,161.0,66.0,44.0,44.0,13.0,30.0
31,160.75,68.0,41.0,41.0,15.0,31.0
32,160.5,68.0,42.0,43.0,14.0,32.0
33,160.0,72.0,46.0,36.0,10.0,33.0
34,160.0,70.0,45.0,40.0,11.0,34.0
35,160.0,68.0,45.0,39.0,12.0,35.0
36,159.75,72.0,42.0,40.0,10.0,36.0
37,159.75,71.0,43.0,39.0,14.0,37.0
38,159.75,70.0,42.0,40.0,15.0,38.0
39,159.75,68.0,40.0,42.0,16.0,39.0
40,159.75,68.0,40.0,39.0,18.0,40.0
41,159.75,67.0,44.0,37.0,18.0,41.0
42,159.5,69.0,43.0,39.0,15.0,42.0
43,159.5,67.0,44.0,41.0,14.0,43.0
44,159.5,63.0,43.0,41.0,17.0,44.0
45,159.25,69.0,40.0,41.0,15.0,45.0
46,159.0,70.0,43.0,37.0,16.0,46.0
47,158.75,65.0,46.0,38.0,15.0,47.0
48,158.75,65.0,45.0,42.0,14.0,48.0
49,158.75,64.0,44.0,43.0,16.0,49.0
50,158.5,69.0,44.0,43.0,8.0,50.0
51,158.5,68.0,45.0,40.0,12.0,51.0
52,158.5,64.0,44.0,39.0,17.0,52.0
53,158.25,66.0,48.0,39.0,11.0,53.0
54,158.25,65.0,44.0,39.0,18.0,54.0
55,157.75,66.0,42.0,39.0,17.0,55.0
56,157.5,67.0,43.0,43.0,11.0,56.0
58,157.5,65.0,42.0,40.0,19.0,57.0
59,157.5,64.0,43.0,40.0,17.0,58.0
60,157.25,68.0,40.0,41.0,15.0,59.0
61,157.25,67.0,44.0,39.0,13.0,60.0
62,157.25,65.0,46.0,38.0,16.0,61.0
63,157.0,72.0,44.0,40.0,7.0,62.0
64,157.0,67.0,46.0,34.0,13.0,63.0
65,156.75,64.0,42.0,45.0,12.0,64.0
66,156.5,68.0,43.0,40.0,14.0,65.0
67,156.5,68.0,42.0,42.0,11.0,66.0
68,156.5,68.0,41.0,40.0,16.0,67.0
69,156.25,70.0,42.0,36.0,15.0,68.0
70,156.25,68.0,41.0,41.0,12.0,69.0
